epoch,train_err,train_acc,test_err,test_acc
1,0.030364,89.543000,0.215584,89.550000
2,0.025268,90.019000,0.209141,89.680000
3,0.025028,90.035000,0.204768,89.600000
4,0.024932,89.911000,0.206390,89.760000
5,0.024799,89.933000,0.202174,89.620000
6,0.024736,89.983000,0.204641,89.670000
7,0.024682,89.957000,0.205313,89.545000
8,0.024666,89.945000,0.207833,89.750000
9,0.024621,89.974000,0.202042,89.770000
10,0.024585,89.935000,0.202254,89.525000
11,0.024526,90.008000,0.202416,89.540000
12,0.024503,89.971000,0.204003,89.670000
13,0.024494,89.992000,0.207592,89.580000
14,0.024469,89.991000,0.200276,89.740000
15,0.024427,90.010000,0.205298,89.705000
16,0.024401,90.062000,0.205636,89.705000
17,0.024428,89.975000,0.201245,89.790000
18,0.024422,89.969000,0.201731,89.515000
19,0.024388,89.887000,0.202849,89.725000
20,0.024408,89.933000,0.202959,89.715000
21,0.024349,90.027000,0.203792,89.550000
22,0.024394,89.996000,0.201642,89.795000
23,0.024361,89.993000,0.200571,89.480000
24,0.024330,89.964000,0.200244,89.850000
25,0.024351,89.974000,0.201084,89.665000
26,0.024326,90.013000,0.202508,89.825000
27,0.024309,90.083000,0.199186,89.690000
28,0.024348,89.936000,0.201476,89.725000
29,0.024363,89.945000,0.201035,89.625000
30,0.024338,89.981000,0.201128,89.625000
31,0.024316,90.077000,0.200003,89.665000
32,0.024324,89.913000,0.201221,89.655000
33,0.024299,89.925000,0.202871,89.855000
34,0.024328,89.902000,0.202160,89.890000
35,0.024307,89.952000,0.204561,89.605000
36,0.024265,90.037000,0.201203,89.660000
37,0.024288,90.067000,0.200601,89.720000
38,0.024288,89.956000,0.200218,89.640000
39,0.024248,90.052000,0.203274,89.615000
