epoch,train_err,train_acc,pseudoloss,boost_acc,boost_time,total_time
1,1.233372,63.290257,0.180321,65.661574,0.602031,15.421848
2,1.098211,66.164953,0.174415,66.219494,0.620221,34.314717
3,1.068289,66.978051,0.177322,66.623351,0.620607,53.311815
4,1.056444,67.299646,0.181789,66.848978,0.617602,72.490659
5,1.047622,67.514118,0.185296,66.892171,0.610618,91.420760
6,1.038604,67.736057,0.187590,66.489557,0.611559,110.278970
7,1.032475,68.037143,0.189221,67.451987,0.611732,127.715699
8,1.028898,67.968699,0.191411,67.001810,0.614197,146.841985
9,1.027531,68.024617,0.193154,67.257575,0.607937,164.409516
10,1.023612,68.150179,0.193851,67.457269,0.618537,181.857929
11,1.022673,68.204397,0.194915,67.111777,0.629540,200.982084
12,1.019104,68.210500,0.195447,66.837998,0.619127,218.536863
13,1.020392,68.140250,0.196573,67.167197,0.618113,236.405353
14,1.016648,68.344761,0.196098,67.463274,0.607556,254.207061
15,1.015989,68.307265,0.196776,67.455240,0.624983,274.017616
16,1.014192,68.443092,0.196736,67.503023,0.631145,292.080103
17,1.012714,68.352755,0.197057,66.928286,0.622790,311.548033
18,1.012297,68.510800,0.196934,67.564568,0.615408,329.148458
19,1.010534,68.516110,0.196939,67.561394,0.614484,348.792637
20,1.012316,68.407164,0.197761,67.381849,0.610959,366.725780
