epoch,train_err,train_acc,test_err,test_acc
1,0.092610,75.809667,0.637762,78.112500
2,0.077021,78.907000,0.612677,79.016667
3,0.073356,79.737000,0.599541,79.220000
4,0.071129,80.259167,0.585722,79.383333
5,0.069618,80.666000,0.589303,79.416667
6,0.068358,80.986667,0.586623,79.424167
7,0.067405,81.244167,0.588167,79.523333
8,0.066600,81.476500,0.588027,79.610833
9,0.065833,81.660333,0.587249,79.493333
10,0.065226,81.854833,0.593664,79.507500
11,0.064633,82.058500,0.594052,79.508333
12,0.064107,82.217000,0.599007,79.382500
13,0.063623,82.359167,0.600070,79.341667
14,0.063172,82.507500,0.601891,79.369167
15,0.062742,82.674333,0.603867,79.338333
16,0.062319,82.831500,0.608020,79.302500
17,0.061925,82.922833,0.615080,79.275000
18,0.061648,83.020333,0.612196,79.195833
19,0.061270,83.190500,0.620850,79.197500
20,0.060979,83.255500,0.620726,79.280000
21,0.060605,83.384500,0.622291,79.181667
22,0.060316,83.525500,0.625520,79.121667
23,0.059998,83.632333,0.634926,79.186667
24,0.059792,83.667167,0.633126,79.077500
25,0.059478,83.814000,0.633913,78.976667
26,0.059231,83.901167,0.639366,78.925833
27,0.059006,83.970833,0.642878,78.876667
28,0.058770,84.061333,0.650041,78.910833
29,0.058496,84.177667,0.653995,78.983333
30,0.058232,84.260167,0.652091,78.950000
31,0.058075,84.334667,0.653578,78.899167
32,0.057883,84.352000,0.657364,78.790000
33,0.057641,84.483167,0.665553,78.912500
34,0.057428,84.551667,0.664405,78.860833
35,0.057225,84.632000,0.672620,78.775000
36,0.057060,84.683500,0.672406,78.630833
37,0.056887,84.751667,0.677424,78.698333
38,0.056675,84.790167,0.683233,78.650000
39,0.056479,84.883333,0.683549,78.555833
40,0.056345,84.912333,0.686649,78.582500
