epoch,train_err,train_acc,test_err,test_acc
1,0.144088,64.333778,1.002737,67.863333
2,0.122437,68.764444,0.957814,69.418889
3,0.117774,69.895111,0.924349,70.498889
4,0.115516,70.442444,0.915015,70.735556
5,0.114353,70.805556,0.908939,70.844444
6,0.113085,71.073333,0.898467,71.147778
7,0.112021,71.371556,0.891479,71.462222
8,0.111427,71.415111,0.884824,71.528889
9,0.110872,71.594889,0.886286,71.656667
10,0.110430,71.654889,0.884903,71.624444
11,0.110206,71.632667,0.869885,72.052222
12,0.109886,71.768222,0.877161,71.701111
13,0.109440,71.998667,0.875522,71.872222
14,0.109247,72.006444,0.871215,72.107778
15,0.109131,72.006667,0.868528,72.135556
16,0.109000,72.016444,0.868533,72.005556
17,0.108495,72.143778,0.868885,72.148889
18,0.108617,72.179333,0.868962,72.121111
19,0.108549,72.145778,0.864136,72.261111
20,0.108181,72.165556,0.867686,72.202222
21,0.108147,72.253111,0.863865,72.100000
22,0.107904,72.376444,0.857589,72.280000
23,0.107427,72.413111,0.860768,72.308889
24,0.107503,72.310222,0.853429,72.587778
25,0.107301,72.453111,0.861419,72.337778
26,0.107237,72.487111,0.859794,72.583333
27,0.107412,72.432667,0.858844,72.408889
28,0.107162,72.438444,0.857614,72.334444
29,0.107022,72.452000,0.856308,72.421111
30,0.106980,72.462667,0.861463,72.381111
31,0.106733,72.594889,0.850474,72.657778
32,0.106741,72.485778,0.854239,72.650000
33,0.106809,72.539111,0.855143,72.504444
34,0.106709,72.561333,0.853862,72.611111
35,0.106576,72.526222,0.853280,72.548889
36,0.106456,72.668222,0.844615,72.961111
37,0.106347,72.698444,0.852288,72.744444
38,0.106327,72.616444,0.844381,72.915556
39,0.106322,72.774000,0.855426,72.732222
40,0.106484,72.614444,0.852291,72.624444
